"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get exercises","LMS service","Tue Aug 05 15:59:46 GMT 2025","passed","Tue Aug 05 15:59:46 GMT 2025","Get entities","Exercises","",""
"","25","Create course","LMS service","Tue Aug 05 15:59:42 GMT 2025","passed","Tue Aug 05 15:59:42 GMT 2025","Create entity","Courses","",""
"","556","Create user","LMS service","Tue Aug 05 15:59:49 GMT 2025","passed","Tue Aug 05 15:59:50 GMT 2025","Create entity","Users","",""
"","22","Create exercise","LMS service","Tue Aug 05 15:59:43 GMT 2025","passed","Tue Aug 05 15:59:43 GMT 2025","Create entity","Exercises","",""
"","25","Get exercise","LMS service","Tue Aug 05 15:59:45 GMT 2025","passed","Tue Aug 05 15:59:45 GMT 2025","Get entity","Exercises","",""
"","13","Get user me","LMS service","Tue Aug 05 15:59:50 GMT 2025","passed","Tue Aug 05 15:59:50 GMT 2025","Get entity","Users","",""
"","260","Get file with incorrect file id","LMS service","Tue Aug 05 15:59:49 GMT 2025","passed","Tue Aug 05 15:59:49 GMT 2025","Validate entity","Files","",""
"","17","Create file with empty directory","LMS service","Tue Aug 05 15:59:48 GMT 2025","passed","Tue Aug 05 15:59:48 GMT 2025","Validate entity","Files","",""
"","18","Delete file","LMS service","Tue Aug 05 15:59:47 GMT 2025","passed","Tue Aug 05 15:59:47 GMT 2025","Delete entity","Files","",""
"","22","Update exercise","LMS service","Tue Aug 05 15:59:43 GMT 2025","passed","Tue Aug 05 15:59:43 GMT 2025","Update entity","Exercises","",""
"","14","Get file","LMS service","Tue Aug 05 15:59:47 GMT 2025","passed","Tue Aug 05 15:59:47 GMT 2025","Get entity","Files","",""
"","517","Create user","LMS service","Tue Aug 05 15:59:49 GMT 2025","passed","Tue Aug 05 15:59:49 GMT 2025","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Tue Aug 05 15:59:40 GMT 2025","passed","Tue Aug 05 15:59:41 GMT 2025","Login","Authentication","",""
"","29","Get courses","LMS service","Tue Aug 05 15:59:42 GMT 2025","passed","Tue Aug 05 15:59:42 GMT 2025","Get entities","Courses","",""
"","34","Update course","LMS service","Tue Aug 05 15:59:41 GMT 2025","passed","Tue Aug 05 15:59:41 GMT 2025","Update entity","Courses","",""
"","18","Delete exercise","LMS service","Tue Aug 05 15:59:45 GMT 2025","passed","Tue Aug 05 15:59:45 GMT 2025","Delete entity","Exercises","",""
"","18","Create file","LMS service","Tue Aug 05 15:59:46 GMT 2025","passed","Tue Aug 05 15:59:46 GMT 2025","Create entity","Files","",""
"","259","Create file with empty filename","LMS service","Tue Aug 05 15:59:48 GMT 2025","passed","Tue Aug 05 15:59:48 GMT 2025","Validate entity","Files","",""
"","525","Create user","LMS service","Tue Aug 05 15:59:48 GMT 2025","passed","Tue Aug 05 15:59:49 GMT 2025","Create entity","Users","",""
