"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Create user","LMS service","Fri Aug 08 12:11:29 GMT 2025","passed","Fri Aug 08 12:11:30 GMT 2025","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Fri Aug 08 12:11:29 GMT 2025","passed","Fri Aug 08 12:11:29 GMT 2025","Validate entity","Files","",""
"","23","Create exercise","LMS service","Fri Aug 08 12:11:24 GMT 2025","passed","Fri Aug 08 12:11:24 GMT 2025","Create entity","Exercises","",""
"","22","Update exercise","LMS service","Fri Aug 08 12:11:25 GMT 2025","passed","Fri Aug 08 12:11:25 GMT 2025","Update entity","Exercises","",""
"","261","Get file with incorrect file id","LMS service","Fri Aug 08 12:11:29 GMT 2025","passed","Fri Aug 08 12:11:30 GMT 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Fri Aug 08 12:11:27 GMT 2025","passed","Fri Aug 08 12:11:27 GMT 2025","Get entity","Files","",""
"","16","Get exercises","LMS service","Fri Aug 08 12:11:26 GMT 2025","passed","Fri Aug 08 12:11:26 GMT 2025","Get entities","Exercises","",""
"","302","Update course","LMS service","Fri Aug 08 12:11:22 GMT 2025","passed","Fri Aug 08 12:11:22 GMT 2025","Update entity","Courses","",""
"","30","Create course","LMS service","Fri Aug 08 12:11:23 GMT 2025","passed","Fri Aug 08 12:11:23 GMT 2025","Create entity","Courses","",""
"","31","Get courses","LMS service","Fri Aug 08 12:11:23 GMT 2025","passed","Fri Aug 08 12:11:23 GMT 2025","Get entities","Courses","",""
"","13","Get user me","LMS service","Fri Aug 08 12:11:31 GMT 2025","passed","Fri Aug 08 12:11:31 GMT 2025","Get entity","Users","",""
"","288","Delete exercise","LMS service","Fri Aug 08 12:11:26 GMT 2025","passed","Fri Aug 08 12:11:26 GMT 2025","Delete entity","Exercises","",""
"","20","Delete file","LMS service","Fri Aug 08 12:11:28 GMT 2025","passed","Fri Aug 08 12:11:28 GMT 2025","Delete entity","Files","",""
"","561","Create user","LMS service","Fri Aug 08 12:11:30 GMT 2025","passed","Fri Aug 08 12:11:30 GMT 2025","Create entity","Users","",""
"","261","Create file with empty filename","LMS service","Fri Aug 08 12:11:28 GMT 2025","passed","Fri Aug 08 12:11:29 GMT 2025","Validate entity","Files","",""
"","283","Login with correct email and password","LMS service","Fri Aug 08 12:11:21 GMT 2025","passed","Fri Aug 08 12:11:21 GMT 2025","Login","Authentication","",""
"","24","Get exercise","LMS service","Fri Aug 08 12:11:25 GMT 2025","passed","Fri Aug 08 12:11:25 GMT 2025","Get entity","Exercises","",""
"","563","Create user","LMS service","Fri Aug 08 12:11:30 GMT 2025","passed","Fri Aug 08 12:11:30 GMT 2025","Create entity","Users","",""
"","266","Create file","LMS service","Fri Aug 08 12:11:27 GMT 2025","passed","Fri Aug 08 12:11:27 GMT 2025","Create entity","Files","",""
