"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create file","LMS service","Sat Aug 09 07:00:50 GMT 2025","passed","Sat Aug 09 07:00:50 GMT 2025","Create entity","Files","",""
"","546","Login with correct email and password","LMS service","Sat Aug 09 07:00:45 GMT 2025","passed","Sat Aug 09 07:00:45 GMT 2025","Login","Authentication","",""
"","19","Delete exercise","LMS service","Sat Aug 09 07:00:49 GMT 2025","passed","Sat Aug 09 07:00:49 GMT 2025","Delete entity","Exercises","",""
"","13","Get file","LMS service","Sat Aug 09 07:00:51 GMT 2025","passed","Sat Aug 09 07:00:51 GMT 2025","Get entity","Files","",""
"","27","Create course","LMS service","Sat Aug 09 07:00:47 GMT 2025","passed","Sat Aug 09 07:00:47 GMT 2025","Create entity","Courses","",""
"","22","Create exercise","LMS service","Sat Aug 09 07:00:48 GMT 2025","passed","Sat Aug 09 07:00:48 GMT 2025","Create entity","Exercises","",""
"","20","Get exercises","LMS service","Sat Aug 09 07:00:50 GMT 2025","passed","Sat Aug 09 07:00:50 GMT 2025","Get entities","Exercises","",""
"","21","Get exercise","LMS service","Sat Aug 09 07:00:49 GMT 2025","passed","Sat Aug 09 07:00:49 GMT 2025","Get entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Sat Aug 09 07:00:52 GMT 2025","passed","Sat Aug 09 07:00:52 GMT 2025","Validate entity","Files","",""
"","30","Update course","LMS service","Sat Aug 09 07:00:45 GMT 2025","passed","Sat Aug 09 07:00:45 GMT 2025","Update entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Sat Aug 09 07:00:53 GMT 2025","passed","Sat Aug 09 07:00:54 GMT 2025","Validate entity","Files","",""
"","18","Create file with empty directory","LMS service","Sat Aug 09 07:00:52 GMT 2025","passed","Sat Aug 09 07:00:52 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Sat Aug 09 07:00:54 GMT 2025","passed","Sat Aug 09 07:00:54 GMT 2025","Get entity","Users","",""
"","27","Get courses","LMS service","Sat Aug 09 07:00:47 GMT 2025","passed","Sat Aug 09 07:00:47 GMT 2025","Get entities","Courses","",""
"","556","Create user","LMS service","Sat Aug 09 07:00:54 GMT 2025","passed","Sat Aug 09 07:00:54 GMT 2025","Create entity","Users","",""
"","20","Update exercise","LMS service","Sat Aug 09 07:00:48 GMT 2025","passed","Sat Aug 09 07:00:48 GMT 2025","Update entity","Exercises","",""
"","518","Create user","LMS service","Sat Aug 09 07:00:53 GMT 2025","passed","Sat Aug 09 07:00:54 GMT 2025","Create entity","Users","",""
"","534","Create user","LMS service","Sat Aug 09 07:00:52 GMT 2025","passed","Sat Aug 09 07:00:53 GMT 2025","Create entity","Users","",""
"","20","Delete file","LMS service","Sat Aug 09 07:00:51 GMT 2025","passed","Sat Aug 09 07:00:51 GMT 2025","Delete entity","Files","",""
