"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Tue Aug 05 15:47:51 GMT 2025","passed","Tue Aug 05 15:47:51 GMT 2025","Get entity","Files","",""
"","540","Create user","LMS service","Tue Aug 05 15:47:53 GMT 2025","passed","Tue Aug 05 15:47:54 GMT 2025","Create entity","Users","",""
"","30","Create course","LMS service","Tue Aug 05 15:47:47 GMT 2025","passed","Tue Aug 05 15:47:47 GMT 2025","Create entity","Courses","",""
"","557","Create user","LMS service","Tue Aug 05 15:47:54 GMT 2025","passed","Tue Aug 05 15:47:54 GMT 2025","Create entity","Users","",""
"","16","Get exercises","LMS service","Tue Aug 05 15:47:50 GMT 2025","passed","Tue Aug 05 15:47:50 GMT 2025","Get entities","Exercises","",""
"","263","Create file","LMS service","Tue Aug 05 15:47:50 GMT 2025","passed","Tue Aug 05 15:47:51 GMT 2025","Create entity","Files","",""
"","267","Create file with empty filename","LMS service","Tue Aug 05 15:47:52 GMT 2025","passed","Tue Aug 05 15:47:52 GMT 2025","Validate entity","Files","",""
"","259","Create file with empty directory","LMS service","Tue Aug 05 15:47:53 GMT 2025","passed","Tue Aug 05 15:47:53 GMT 2025","Validate entity","Files","",""
"","20","Delete file","LMS service","Tue Aug 05 15:47:52 GMT 2025","passed","Tue Aug 05 15:47:52 GMT 2025","Delete entity","Files","",""
"","21","Create exercise","LMS service","Tue Aug 05 15:47:48 GMT 2025","passed","Tue Aug 05 15:47:48 GMT 2025","Create entity","Exercises","",""
"","290","Create user","LMS service","Tue Aug 05 15:47:54 GMT 2025","passed","Tue Aug 05 15:47:54 GMT 2025","Create entity","Users","",""
"","261","Get file with incorrect file id","LMS service","Tue Aug 05 15:47:53 GMT 2025","passed","Tue Aug 05 15:47:54 GMT 2025","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Tue Aug 05 15:47:49 GMT 2025","passed","Tue Aug 05 15:47:50 GMT 2025","Delete entity","Exercises","",""
"","302","Get courses","LMS service","Tue Aug 05 15:47:46 GMT 2025","passed","Tue Aug 05 15:47:46 GMT 2025","Get entities","Courses","",""
"","16","Get exercise","LMS service","Tue Aug 05 15:47:49 GMT 2025","passed","Tue Aug 05 15:47:49 GMT 2025","Get entity","Exercises","",""
"","11","Get user me","LMS service","Tue Aug 05 15:47:55 GMT 2025","passed","Tue Aug 05 15:47:55 GMT 2025","Get entity","Users","",""
"","302","Update course","LMS service","Tue Aug 05 15:47:46 GMT 2025","passed","Tue Aug 05 15:47:46 GMT 2025","Update entity","Courses","",""
"","286","Login with correct email and password","LMS service","Tue Aug 05 15:47:45 GMT 2025","passed","Tue Aug 05 15:47:45 GMT 2025","Login","Authentication","",""
"","286","Update exercise","LMS service","Tue Aug 05 15:47:48 GMT 2025","passed","Tue Aug 05 15:47:48 GMT 2025","Update entity","Exercises","",""
